id,post_id,user_name,comment_text,comment_date,comment_time,barangay,incident_type,created_at
122113596819367137_27698353403198881,1110390105498978_122113596819367137,Unknown,thank u po sa mga volunteers galing pa ibang bayan tumulong d2 samin,2026-08-24,11:09:35,Aya,,2026-08-24T11:21:14.157576+00:00
122113596819367137_1724921045467163,1110390105498978_122113596819367137,Unknown,"Parne ho kayo, baluktot na ang poste malapit sa bahay namin, baka bumagsak pa sa daan, Brgy Poblacion 7.",2026-08-24,11:08:36,Unknown,flood,2026-08-24T11:21:14.542819+00:00
122113596819367137_1697347341358980,1110390105498978_122113596819367137,Unknown,PLS PO need first aid nabalian ata binti ni kuya pagtakbo nya papalayo sa gumuhong pader Brgy Miranda,2026-08-24,11:08:04,Miranda,,2026-08-24T11:21:13.168499+00:00
122113596819367137_1044773548397562,1110390105498978_122113596819367137,Samson Jefferson,Kailangan po namin ng food supply dine sa brgy tranca marami rami ho naka evacuate dine sa eskwelahan ng tranca,2026-08-24,08:43:43,Tranca,evacuation,2026-08-24T08:49:34.086545+00:00
122113596819367137_961711866947699,1110390105498978_122113596819367137,Unknown,May batang sugatan po dito sa Barangay Buco kailangan po namin ng medic,2026-08-23,13:30:58,Buco,casualty,2026-08-23T13:32:05.972354+00:00
122113596819367137_1030764439762083,1110390105498978_122113596819367137,Samson Jefferson,May mga tumirik hong sasakyan dine sa brgy aya gawa po ng baha,2026-08-24,05:27:25,Aya,flood,2026-08-24T05:32:29.089746+00:00
122113596819367137_1375728087404548,1110390105498978_122113596819367137,Unknown,masakit n tiyan ni tita ko ilang araw n parang kailangan n dalhin ospital pero baha pa daan Brgy Banga,2026-08-24,11:09:07,Banga,flood,2026-08-24T11:21:16.15031+00:00
122113596819367137_4429954697316470,1110390105498978_122113596819367137,Samson Jefferson,Wala po bang tulong pinansyal o kahit pagkain sa mga nasalanta ng bagyo? Salamat po,2026-08-24,03:52:51,Unknown,emergency,2026-08-24T03:53:18.740445+00:00
122113596819367137_1347861414171198,1110390105498978_122113596819367137,Unknown,"Mayroon pong gumuhong lupa dito sa Poblacion 1 at may taong natabunan, kailangan po namin ng tulong nyo ngayon para mahukay yung tao",2026-08-23,14:43:07,Unknown,emergency,2026-08-23T14:47:56.424322+00:00
122115019251367137_1351842770056661,1110390105498978_122115019251367137,Unknown,"nlubog n bhay nmin d2 sa Balas hangang leeg n tubig, d na kmi mkalabas!!",2026-09-03,00:47:02,Balas,flood,2026-09-03T02:54:42.915702+00:00
122113836501367137_1989321255119959,1110390105498978_122113836501367137,Unknown,need po formula milk agad wla po kming stock d2 sa center.,2026-08-24,13:38:58,Unknown,,2026-08-24T13:44:35.539662+00:00
122113596819367137_2428464667645062,1110390105498978_122113596819367137,Unknown,Tulong po kailangan po ng tulong nyo para ma evacuate yung mga taong hindi makaalis sa bahay nila dito sa Barangay Tumaway gawa ng umuusok po ng malakas ang bulkang Taal,2026-08-24,09:26:11,Tumaway,evacuation,2026-08-24T09:27:12.004948+00:00
122113596819367137_1364253062084475,1110390105498978_122113596819367137,Samson Jefferson,"tulong po dine sa barangay san guillermo, baha naho",2026-08-22,20:29:58,San Guillermo,emergency,2026-08-22T20:31:14.476876+00:00
122113836501367137_1041733968465888,1110390105498978_122113836501367137,Samson Jefferson,Dine ho sa brgy miranda madaming kahoy natumba makiki aksyonan po salamat,2026-08-24,11:55:53,Miranda,,2026-08-24T11:56:12.708538+00:00
122113596819367137_1699104658883528,1110390105498978_122113596819367137,Unknown,"Tulong po, may gumuhong lupa dito sa Barangay Sampaloc",2026-08-23,11:53:43,Sampaloc,emergency,2026-08-23T11:58:44.954881+00:00
122113596819367137_1088674086829145,1110390105498978_122113596819367137,Unknown,PAKIUSAP need rescue boat NOW stranded kmi 5ppl rooftop na po.,2026-08-24,11:07:41,Unknown,emergency,2026-08-24T11:21:12.461134+00:00
122113596819367137_1164995909437592,1110390105498978_122113596819367137,Unknown,"Salamat po pala sa linemen na dumating agad, may kuryente na po ulit kami dito sa Brgy Poblacion 7",2026-08-24,13:35:53,Unknown,,2026-08-24T13:38:48.403728+00:00
122113596819367137_1098035299230871,1110390105498978_122113596819367137,Unknown,Is there a doctor currently on duty at the evacuation center in Brgy. Aya?,2026-08-24,13:33:59,Aya,evacuation,2026-08-24T13:38:47.820797+00:00
122113836501367137_1021446647378289,1110390105498978_122113836501367137,Unknown,"Salamat po sa relief goods kahapon, malaking tulong po ito para sa amin dine sa Brgy Poblacion 7❤️",2026-08-24,13:30:20,Unknown,emergency,2026-08-24T13:32:56.602845+00:00
122113836501367137_2052591818956007,1110390105498978_122113836501367137,Unknown,"Dine ho baga sa health center unti-unti na tumataas ang baha kainaman na, sana dumaan na ang rescue, Brgy Poblacion 2.",2026-08-26,05:38:02,Unknown,emergency,2026-08-26T05:38:46.593407+00:00
122113836501367137_1713130676628081,1110390105498978_122113836501367137,Samson Jefferson,Kailangan po namin makalikas dito sa tranka nataas napo ang tubig ng ilog,2026-08-25,04:02:05,Unknown,flood,2026-08-25T04:09:09.736824+00:00
122116085643367137_1048922251454679,1110390105498978_122116085643367137,Samson Jefferson,"Nakakaawa po may mga asma pasuyo napo patulungan kami sa pag lilinis ng abo,",2026-09-11,03:48:39,Unknown,,2026-09-12T02:28:40.784362+00:00
122113836501367137_1821927579188264,1110390105498978_122113836501367137,Samson Jefferson,May bata pong nawawala at baka po inanod ng baha dine po sa barangy quiling malapit sa tulay,2026-08-25,05:21:38,Quiling,flood,2026-08-25T05:26:14.084614+00:00
122113836501367137_1057190067125149,1110390105498978_122113836501367137,Unknown,"Nawawala po yung kapitbahay namin dito sa Caloocan, hindi na po nakauwi kagabi pa",2026-08-26,07:44:16,Caloocan,flood,2026-08-26T07:50:02.155684+00:00
122113836501367137_1545769229929831,1110390105498978_122113836501367137,Unknown,MAY MALAKING BITAK SA LUPA MALAPIT SA boundary ng Laurel NATATAKOT KMI BAKA LUMALA PA.,2026-08-26,07:39:56,Unknown,,2026-08-26T07:44:11.945447+00:00
122113596819367137_1569522471248219,1110390105498978_122113596819367137,Unknown,"Pwede po ba humingi ng gamot pang lagnat, marami pong nilalagnat na bata dito sa center sa Brgy Poblacion 5.",2026-08-24,13:40:42,Unknown,,2026-08-24T13:44:37.600363+00:00
122113836501367137_1050914253989655,1110390105498978_122113836501367137,Unknown,"Baka po meron pa kayong extrang mga gamit, wala po kaming pamalit at mahigaan dito sa evacuation center sa Poblacion 5",2026-08-25,09:34:18,Unknown,evacuation,2026-08-25T09:36:21.457412+00:00
122113596819367137_1934619747235487,1110390105498978_122113596819367137,Responde Clone,"atin pong aaksyonan lahat sa abot ng aming makakaya, ang buong team ay gumagawa ng paraan para sa agarang aksyon at tulong, maraming salamat po!",2026-08-24,11:37:42,Aya,emergency,2026-08-24T11:38:43.499843+00:00
122113836501367137_1779920663039345,1110390105498978_122113836501367137,Unknown,wla n pong gatas si baby ko dine sa evac center Brgy Poblacion 3 puro tubig baha nlng meron kmi,2026-08-26,04:56:21,Unknown,flood,2026-08-26T05:21:15.96577+00:00
122113836501367137_1620331582841911,1110390105498978_122113836501367137,Unknown,"Kumakalat na po yung apoy dito sa Sampaloc, ilang bahay na po ang naapektuhan",2026-08-26,10:48:11,Sampaloc,flood,2026-08-26T10:53:48.553842+00:00
122115019251367137_1402586591832217,1110390105498978_122115019251367137,Unknown,May nanganganak napo dito yung asawa ng kapitbahay namin wla silang masakyan papunta ospital dito sa Brgy Banga,2026-09-03,00:42:35,Banga,flood,2026-09-03T02:54:43.076797+00:00
122113836501367137_1017074964715380,1110390105498978_122113836501367137,Unknown,May naririrnig po kame na humihingi ng tulong dito sa bumagsak na bahay dito sa buco malapit sa kanto,2026-08-26,04:58:43,Buco,emergency,2026-08-26T05:21:16.55685+00:00
122113836501367137_1589279659398601,1110390105498978_122113836501367137,Unknown,"Kelan po dadating ang relief goods dito sa Sampaloc, dawalang araw na po kaming walang makain",2026-08-26,09:21:13,Sampaloc,,2026-08-26T09:26:17.273325+00:00
122113836501367137_1066507575758862,1110390105498978_122113836501367137,Unknown,"Ilang pamilya na po ang gutom dito, hindi pa nakakarating ang relief goods sa amin malapit sa barangay hall sa Brgy Aya",2026-08-25,08:55:52,Aya,,2026-08-25T08:57:06.004624+00:00
122113596819367137_1371725155064486,1110390105498978_122113596819367137,Unknown,update lng po ligtas n kmi ngaun pinuntahan n kmi ng rescue kagabi Brgy Sta. Maria salamat po 🙏,2026-08-24,14:55:21,Unknown,emergency,2026-08-24T14:56:16.790557+00:00
122113836501367137_1582027013416056,1110390105498978_122113836501367137,Samson Jefferson,Madami pong kailangan ng tulong dito sa miranda gawa ng lindol,2026-08-26,05:18:23,Miranda,earthquake,2026-08-26T05:21:16.264829+00:00
122113836501367137_1802563807568641,1110390105498978_122113836501367137,Unknown,Jusko po may na naipit na bata dito sa Barangay Miranda,2026-08-25,03:21:15,Miranda,,2026-08-25T03:21:21.874402+00:00
122113836501367137_2129956894561342,1110390105498978_122113836501367137,Unknown,"May na strand na pamilya po dito sa Quiling, nasa itaas na po sila ng bubong dahil sa taas ng baha",2026-08-26,03:10:52,Quiling,flood,2026-08-26T03:21:14.356682+00:00
122116085643367137_825427183957621,1110390105498978_122116085643367137,Unknown,baka naman ho mabisita kami dine sa san guillermo,2026-09-11,10:13:21,San Guillermo,,2026-09-12T02:28:40.548025+00:00
122113836501367137_1424476179497589,1110390105498978_122113836501367137,Unknown,Wala na pong mainom na tubig dito sa evacuation center sa Barangay Ayala,2026-08-26,01:48:02,Aya,evacuation,2026-08-26T01:53:55.883047+00:00
122113836501367137_1831637414499664,1110390105498978_122113836501367137,Samson Jefferson,May ilan ilan pong inanod ng baha dito sa brgy caloocan,2026-08-26,09:49:28,Caloocan,flood,2026-08-26T09:51:14.571779+00:00
122115019251367137_1818692966249574,1110390105498978_122115019251367137,Unknown,check up lng po sana my allergy reaction kc bunso ko sa pagkain d2 sa relief goods Brgy Sampaloc,2026-09-02,07:57:14,Sampaloc,,2026-09-02T07:59:54.794047+00:00
122113836501367137_2565938587153646,1110390105498978_122113836501367137,Unknown,medyo tumataas nlang po tubig d2 samin baka pwd icheck kung need pa ng rescue dine sa Brgy Poblacion 7,2026-08-25,08:44:07,Unknown,emergency,2026-08-25T08:51:16.920751+00:00
122113596819367137_1236991272836982,1110390105498978_122113596819367137,Unknown,"salamat po sa mga relief pack na dumating, pero kulang p rin para sa malaking pamilya nmin d2",2026-08-25,08:46:11,Unknown,,2026-08-25T08:51:19.687656+00:00
122113836501367137_2831346180565468,1110390105498978_122113836501367137,Samson Jefferson,Pwede po ba maka hingi ng cash assistance,2026-08-26,13:29:01,Unknown,,2026-08-26T13:36:25.920776+00:00
122113836501367137_2621455701652734,1110390105498978_122113836501367137,Unknown,Pa-assist naman ho sa natumbang puno dito sa barangay tranca,2026-08-26,20:11:40,Tranca,,2026-08-26T20:12:20.988734+00:00
122113836501367137_1047896288067819,1110390105498978_122113836501367137,Unknown,Ilang oras po ba bago bumaba ang tubig dito sa Poblacion?,2026-08-26,12:28:01,Unknown,flood,2026-08-26T12:35:35.759085+00:00
122113836501367137_1510419034464736,1110390105498978_122113836501367137,Samson Jefferson,Kailangan po namin ng ambulansya may mga sugatan po dine sa brgy miranda,2026-08-28,03:07:31,Miranda,casualty,2026-08-28T03:08:50.005805+00:00
122113836501367137_1557552305912927,1110390105498978_122113836501367137,Unknown,"magpadala po kayo ng tao dito sa Poblacion 3, may nabagsakan po ng bato dito galing sa gumuhong gusali",2026-08-28,01:44:58,Unknown,,2026-08-28T01:48:04.643912+00:00
122113836501367137_840721745702631,1110390105498978_122113836501367137,Unknown,Bumabaha na naman dito sa Sampaloc kahit umulan lang ng konti,2026-08-27,01:51:50,Sampaloc,flood,2026-08-27T01:56:19.218792+00:00
122113836501367137_2107916773127740,1110390105498978_122113836501367137,Unknown,masakit n ho tiyan ni tita ko ilang araw n parang kailangan n dalhin ospital pero baha pa daan sa Brgy Leynes,2026-08-29,11:20:30,Leynes,flood,2026-08-29T11:21:20.939416+00:00
122113596819367137_1816374606048098,1110390105498978_122113596819367137,Unknown,PUTOL N KURYENTE! ILANG ORAS N D2 SA BRGY Poblacion 2 MAY NAKALAWIT PANG WIRE SA daan papuntang bundok DELIKADO PO!,2026-08-28,12:37:16,Unknown,,2026-08-28T12:51:32.94439+00:00
122114578179367137_1082879980919309,1110390105498978_122114578179367137,Unknown,kumakapal na po yung hamog dito sa barangay miranda at baka po makakapagpadala kayo tao gawa hindi ko malabas magisa yung lumpong magulang ko,2026-08-29,14:17:56,Miranda,,2026-08-29T14:21:56.331013+00:00
122113836501367137_1273820574775658,1110390105498978_122113836501367137,Unknown,"Paano po mag-request ng dagdag na pagkain para sa mga bata dito sa center, malapit sa covered court dito sa Brgy Balas",2026-08-28,12:33:47,Balas,,2026-08-28T12:51:25.624275+00:00
122113836501367137_2112390966297926,1110390105498978_122113836501367137,Unknown,pwd po b dagdagan relief pack nmin marami po kc bata sa bhay nmin d2 sa Brgy Balas,2026-08-29,10:35:17,Balas,,2026-08-29T10:36:26.100178+00:00
122114578179367137_956238207514610,1110390105498978_122114578179367137,Unknown,PUTOL N KURYENTE ILANG ORAS N D2 MAY NAKALAWIT PANG WIRE SA daan papuntang bundok DELIKADO PO.,2026-08-30,08:16:01,Unknown,,2026-08-30T08:21:22.694143+00:00
122113836501367137_1268618838644341,1110390105498978_122113836501367137,Unknown,hi po😄 ask ko lng kung san po pwd magdonate ng relief goods para sa Brgy Buco,2026-08-28,12:36:11,Buco,,2026-08-28T12:51:25.473561+00:00
122113836501367137_1597203822004464,1110390105498978_122113836501367137,Unknown,Wala pa rn pong kuryente n signal sa Poblacion 2.. Marami na po naputol na poste d2 sa kalsada paki ayos po need napo talaga ng supply ng kuryente 🥲,2026-08-28,12:27:13,Unknown,,2026-08-28T12:51:30.643787+00:00
122114578179367137_1551279453678423,1110390105498978_122114578179367137,Unknown,BARADO NAPO DAAAN SA Poblacion 1 dhl sa ASH FALL!!! WLA NG MKADAAN!!!,2026-08-29,13:51:03,Unknown,,2026-08-29T13:52:45.592802+00:00
122114578179367137_1656807559266487,1110390105498978_122114578179367137,Unknown,mAy nA-stuck SA Sampaloc pLs r3scu3 now!!!😭,2026-08-29,14:04:41,Sampaloc,,2026-08-29T14:10:15.59093+00:00
122114578179367137_1095333146266295,1110390105498978_122114578179367137,Samson Jefferson,Hindi po kami maka luwas wala po madaanan putol ang tulay,2026-08-29,14:03:01,Unknown,,2026-08-29T14:04:25.691423+00:00
122114578179367137_2044195036214715,1110390105498978_122114578179367137,Unknown,"Bumagsak po ang poste ng kuryente kasama ang mga kable sa daan papuntang Poblacion 1, gawa ng bagyo.",2026-08-29,14:39:17,Unknown,typhoon,2026-08-29T14:42:14.041481+00:00
122113836501367137_1596315078805560,1110390105498978_122113836501367137,Unknown,"I would like to give Thanks to everyone who donated supplies for our evacuation center here in Brgy. Buco, God Bless🙏❤️",2026-08-28,12:24:19,Buco,evacuation,2026-08-28T12:27:13.952827+00:00
122114578179367137_1643322900550270,1110390105498978_122114578179367137,Unknown,"Nasira ang bahagi ng tulay papuntang Poblacion 2 dahil sa lakas ng agos, hindi na po madaanan ng sasakyan.",2026-08-30,03:34:35,Unknown,flood,2026-08-30T03:37:12.928126+00:00
122113836501367137_828065903661403,1110390105498978_122113836501367137,Samson Jefferson,"Hello, I'm a foreigner here at Barangay Miranda Bridge. I am stranded here. Please help me.",2026-08-28,12:21:46,Miranda,,2026-08-28T12:27:15.946453+00:00
122114578179367137_942730098847245,1110390105498978_122114578179367137,Unknown,PLS PO need first aid nabalian ata binti ni kuya pagtakbo nya papalayo sa gumuhong pader Brgy Poblacion 1,2026-08-29,13:58:27,Unknown,,2026-08-29T13:58:35.517855+00:00
122114578179367137_1086294113987921,1110390105498978_122114578179367137,Unknown,"wla n pong maiinom n malinis n tubig d2 sa evac center Brgy Poblacion 7 3 days n po, immediate help po SANA",2026-08-29,14:06:29,Unknown,flood,2026-08-29T14:10:16.960044+00:00
122114578179367137_1345490300903070,1110390105498978_122114578179367137,Unknown,"Blocked yung road sa Brgy. 5 dahil sa volcanic ash, hindi makadaan yung mga vehicles",2026-08-29,14:14:01,Unknown,,2026-08-29T14:16:06.098897+00:00
122113836501367137_1000226016366902,1110390105498978_122113836501367137,Unknown,"Sana marami pang tumulong dito sa Aya parang kanina, galing pa sa kabilang bayan",2026-08-28,12:21:28,Aya,,2026-08-28T12:27:16.103514+00:00
122113596819367137_1373722061493928,1110390105498978_122113596819367137,Samson Jefferson,May sunog ho dine sa poblacion dos ngayon,2026-08-24,06:38:30,Unknown,fire,2026-08-24T06:44:02.036364+00:00
122113596819367137_1801170824241580,1110390105498978_122113596819367137,Samson Jefferson,Mataas nanaman po ulit ang tubig dito sa Quiling kailangan po maka likas kami asap,2026-08-29,08:27:43,Quiling,flood,2026-08-29T08:51:26.076287+00:00
122116085643367137_2436251103532821,1110390105498978_122116085643367137,Samson Jefferson,tulong po sa balas napaka rami pong kailangan mabigyan ng tubig sira po and linya ng tubig dine wala kami mainom,2026-09-09,12:01:04,Balas,emergency,2026-09-09T12:08:38.481956+00:00
122114578179367137_1784413052735169,1110390105498978_122114578179367137,Unknown,TULONGGG POOO!! Paki evacuate po kame dine sa Brgy Poblacion 2!! Lampas tao na po ang tubig baha plsss😥,2026-08-29,14:18:27,Unknown,evacuation,2026-08-29T14:21:58.582011+00:00
122113596819367137_2369457883865026,1110390105498978_122113596819367137,Unknown,Natumba ung malaking puno kasama poste sa may boundary ng Laurel blocked n ung daan papuntang Brgy Caloocan hay nako😭,2026-08-28,12:38:20,Caloocan,,2026-08-28T12:51:35.860278+00:00
122116085643367137_954653107686303,1110390105498978_122116085643367137,Samson Jefferson,Tumawag po kami sa inyo wala pong nasagot ni msg wala anubayan gtom na kami tolong nman jusq,2026-09-09,06:18:15,Aya,,2026-09-09T12:08:38.862043+00:00
122113836501367137_2083393555582731,1110390105498978_122113836501367137,Unknown,"My father is having severe chest pain and difficulty breathing, we urgently need an ambulance, Brgy. Banga.",2026-08-26,04:34:29,Banga,,2026-08-26T04:38:47.646265+00:00
122114578179367137_1789536812238771,1110390105498978_122114578179367137,Unknown,"Possible landslide warning po sa area ng daan papuntang bundok, nag-crack na yung lupa, sana ma-check agad, Brgy Tranca.",2026-08-29,13:32:25,Tranca,landslide,2026-08-29T13:35:53.784995+00:00
122113596819367137_1023095967466885,1110390105498978_122113596819367137,Unknown,Need po namin agarang tulong dito sa Barangay Caloocan gawa ng may na trapped po na bata dito sa gumuhong bahay,2026-08-24,08:08:44,Caloocan,emergency,2026-08-24T08:14:33.777543+00:00
122114578179367137_1597097468491151,1110390105498978_122114578179367137,Unknown,Saan kaya ang evacuation center na malapit sa Barangay Balas?,2026-08-29,13:54:47,Balas,evacuation,2026-08-29T13:58:34.971692+00:00
122114578179367137_2174068776857035,1110390105498978_122114578179367137,Unknown,A family in Brgy. Sampaloc is stranded and needs some immediate evacuation assistance!,2026-08-29,14:01:18,Sampaloc,evacuation,2026-08-29T14:04:26.527578+00:00
122114578179367137_2534083940421563,1110390105498978_122114578179367137,Unknown,HIRAP HUMINGA D2 Pob 3 dhl sA aBo!!! NEED MEDIC PLS ASAP!!!,2026-08-29,13:56:30,Unknown,,2026-08-29T13:58:35.365042+00:00
122114578179367137_1882041492495374,1110390105498978_122114578179367137,Unknown,HELPPP! yung tatay ko hirap huminga gawa ng chest pain nya need napo ng ambulansya asap malapit sa covered court sa Barangay Aya😭,2026-09-01,09:09:49,Aya,,2026-09-01T19:40:54.241136+00:00
122115019251367137_1086702683828322,1110390105498978_122115019251367137,Unknown,TULONGGG POOO!! Paki evacuate po kame Lampas tao na po ang tubig baha plsss 😭😭,2026-09-01,09:15:36,Unknown,evacuation,2026-09-01T19:40:50.015524+00:00
122114578179367137_966740176430913,1110390105498978_122114578179367137,Unknown,s4f3 n4 b4 bum4l1k s4 Barangay Tumaway??? Baka kase may aBo p4 r1n 😭,2026-09-01,02:52:09,Tumaway,,2026-09-01T02:57:07.681653+00:00
122114578179367137_2023703441623495,1110390105498978_122114578179367137,Unknown,"May nahihirapang pong huminga sa Poblacion Barangay 1, kapal ng abo eh, kailangan po nya ng pang lunas agad para maagapan",2026-09-01,02:21:06,Poblacion Barangay 1,,2026-09-01T02:26:19.834058+00:00
122115019251367137_38128760200072102,1110390105498978_122115019251367137,Unknown,"2long po sobrang lakas na po ng buga ng usok ng taal, baka po may mga supplies kayo na pedeng ipamigay dito sa Barangay Sampaloc",2026-09-02,02:30:59,Sampaloc,,2026-09-02T02:37:35.77337+00:00
122115019251367137_1082835297764072,1110390105498978_122115019251367137,Unknown,Magandang umaga po pa rescue po kame dito sa Poblacion 3 lagpas tao na po ang baha dito,2026-09-02,00:46:42,Unknown,emergency,2026-09-02T00:53:42.381064+00:00
122114578179367137_1067084142841978,1110390105498978_122114578179367137,Unknown,"Guys may tumaob na bangka sa Taal Lake malapit sa riles papuntang Sta. Maria, please send help, wala pang response sa report ko sa Brgy Buco.",2026-09-01,09:07:16,Buco,,2026-09-01T19:40:51.886715+00:00
122114578179367137_1352169727079945,1110390105498978_122114578179367137,Unknown,Tulong po naipit po yung kapatid ko sa bumagsak na puno dito sa Barangay Leyners malapit po ito sa school,2026-09-01,04:06:10,Unknown,emergency,2026-09-01T04:22:08.441245+00:00
122114578179367137_1612129157107406,1110390105498978_122114578179367137,Unknown,BL0CK3D d4An sA Poblacion Barangay 6 dHl sA ABo!!! pLs h3lp,2026-09-01,02:27:41,Poblacion Barangay 6,,2026-09-01T02:51:17.936811+00:00
122114578179367137_1556800602104193,1110390105498978_122114578179367137,Unknown,"May residents na stranded sa Brgy. Quiling, please send rescue assistance",2026-09-01,02:19:04,Quiling,emergency,2026-09-01T02:20:28.193672+00:00
122115019251367137_1602999917832936,1110390105498978_122115019251367137,Samson Jefferson,Tulong naman po dine sa pob 5 puro delata lang at bigas wala naman po kami lutuan,2026-09-01,12:18:30,Unknown,emergency,2026-09-01T19:40:49.480321+00:00
122098588077367137_2018198508863542,1110390105498978_122098588077367137,Unknown,"Hi po sir sorry po sa abala kung dito po ako nag re-reach out ng tulong gawa baluktot na ang poste malapit sa bahay namin, baka bumagsak pa sa daan, malapit po kame sa Brgy Poblacion 6, concern lang po kame kase baka may madamay po na iba",2026-08-28,12:42:52,Unknown,emergency,2026-08-28T12:51:37.06844+00:00
122116085643367137_1822796898915490,1110390105498978_122116085643367137,Unknown,Tulong po may tanong ako,2026-09-12,02:21:39,Unknown,emergency,2026-09-12T02:28:40.666836+00:00
122116085643367137_2680766715714628,1110390105498978_122116085643367137,Unknown,sana po safe ang mga nasalanta,2026-09-11,00:04:52,Unknown,,2026-09-11T00:12:40.788996+00:00
122115019251367137_1700742784354619,1110390105498978_122115019251367137,Unknown,"Urgent po, may dalawang kotse na nagbanggaan dito sa Poblacion 6 malapit po sa high way at may dalawang tao pong sugatan.",2026-09-02,07:50:18,Unknown,accident,2026-09-02T07:59:55.967803+00:00
122115019251367137_1113429734450365,1110390105498978_122115019251367137,Unknown,hlp us pls nasa rooftop kmi ngaun tumataas pa tubig d2 sa Poblacion 1 wlang bangka dumaan 😭,2026-09-01,09:18:35,Unknown,flood,2026-09-01T19:40:49.86888+00:00
122114578179367137_3018043828543206,1110390105498978_122114578179367137,Samson Jefferson,Kabagal ng rescue aah,2026-09-01,04:35:57,Unknown,emergency,2026-09-01T04:39:39.384628+00:00
122114578179367137_995471230174116,1110390105498978_122114578179367137,Unknown,Residents in Banga need potable water because the local supply is contaminated by ash.,2026-09-01,02:56:13,Banga,,2026-09-01T02:57:07.526556+00:00
122115019251367137_1041862532176828,1110390105498978_122115019251367137,Unknown,"Meron po natumbang puno dito sa Barangay Lenyes at nakaharang po sa daan, kasalukuyang po ngayong nagdudulot ng traffic",2026-09-01,09:56:40,Unknown,,2026-09-01T19:40:49.167253+00:00
122115019251367137_1456562189665119,1110390105498978_122115019251367137,Unknown,"Anla tulong naman po! Natabunan na ang daan sa Brgy. Balas gawa ng landslide, di makadaan ang ambulansya!",2026-09-02,09:31:11,Balas,landslide,2026-09-02T12:08:20.543194+00:00
122114578179367137_1089722613394438,1110390105498978_122114578179367137,Unknown,"Gano po katagal pa ang class suspension dine sa Brgy St. Maria, may text update na po ba?",2026-09-01,09:05:07,Unknown,,2026-09-01T19:40:52.038819+00:00
122114578179367137_1700893785379568,1110390105498978_122114578179367137,Samson Jefferson,Matabunan na ho ng lahar ang mga bahayan dine sa pob 3,2026-09-01,03:45:39,Aya,flood,2026-09-01T03:49:38.435119+00:00
